cno_dose,time,rlu
1,0,67899
1,0,56122
1,0,50292
1,0,42177
1,0,44248
1,0,47104
1,0,52745
1,24,427812
1,24,471991
1,24,219519
1,24,271025
1,24,227668
1,24,309410
1,24,360937
1,48,1365560
1,48,1135418
1,48,614208
1,48,779026
1,48,532905
1,48,678199
1,48,900265
2.5,0,40147
2.5,0,30171
2.5,0,51862
2.5,0,46407
2.5,0,43372
2.5,0,36249
2.5,0,47148
2.5,24,370247
2.5,24,247199
2.5,24,351222
2.5,24,382660
2.5,24,324453
2.5,24,268301
2.5,24,240489
2.5,48,920701
2.5,48,665463
2.5,48,1169262
2.5,48,770693
2.5,48,793015
2.5,48,682742
2.5,48,708094
5,0,6462.666667
5,0,5582.9
5,0,9827.966667
5,0,9022.6
5,0,2249.066667
5,24,38028.73333
5,24,56670.3
5,24,51640.03333
5,24,23052.9
5,24,11602.03333
5,48,94224.03333
5,48,128975.9667
5,48,112956.1667
5,48,63829.6
5,48,24473.73333
